,MatchID,Distance1,Distance2,P1RanMore,P1Won,RanMoreWon,MatchRound,WinnerAdvancedTo,WinnerLostNext,
6,2015-usopen-1116,8760.347,8518.181,1,0,0,R128,R32,0,
7,2015-usopen-1117,8520.147,8871.745,0,0,1,R128,R16,0,
11,2015-usopen-1132,11169.731,10899.94,1,0,0,R128,R32,0,
14,2015-usopen-1140,11999.331,14016.388,0,1,0,R128,R16,0,
15,2015-usopen-1148,8601.935,9441.091,0,0,1,R128,R16,0,
18,2015-usopen-1153,9454.252,11199.011,0,1,0,R128,R32,0,
26,2015-usopen-1208,8571.974,9434.667,0,0,1,R64,R32,1,
30,2015-usopen-1214,11074.765,11846.189,0,1,0,R64,R32,1,
31,2015-usopen-1216,7811.727,8485.691,0,0,1,R64,R32,1,
32,2015-usopen-1217,8903.644,8776.717,1,1,1,R64,SF,0,
34,2015-usopen-1220,8900.021,8515.907,1,1,1,R64,R16,0,
35,2015-usopen-1224,10203.211,10264.014,0,0,1,R64,R16,0,
37,2015-usopen-1226,8193.442,7894.094,1,0,0,R64,R32,1,
38,2015-usopen-1227,11769.273,11839.583,0,1,0,R64,R32,1,
39,2015-usopen-1228,8548.257,7783.333,1,0,0,R64,QF,0,
42,2015-usopen-1301,9405.351,9221.02,1,1,1,R32,F,0,
45,2015-usopen-1304,11536.538,12929.309,0,1,0,R32,R16,1,
48,2015-usopen-1307,10616.346,10329.86,1,1,1,R32,SF,0,
49,2015-usopen-1308,7970.369,9131.406,0,1,0,R32,R16,1,
51,2015-usopen-1310,12474.612,13462.847,0,0,1,R32,R16,1,
53,2015-usopen-1312,7618.281,8181.602,0,0,1,R32,R16,1,
54,2015-usopen-1313,11712.461,11981.058,0,1,0,R32,R16,1,
58,2015-usopen-1401,12101.582,11958.28,1,1,1,R16,F,0,
63,2015-usopen-1406,9162.895,10370.573,0,1,0,R16,QF,1,
66,2015-usopen-1501,6871.468,8209.116,0,1,0,QF,F,0,
67,2015-usopen-1502,10067.01,9357.692,1,0,0,QF,SF,1,
72,2015-usopen-1701,10744.488,10962.319,0,1,0,F,NA,NA,
196,2016-usopen-1113,9074.506,7717.195,1,1,1,R128,R16,0,
199,2016-usopen-1123,8384.533,9241.617,0,0,1,R128,R64,1,
203,2016-usopen-1137,8938.667,9754.941,0,1,0,R128,R64,1,
208,2016-usopen-1154,8259.638,8275.107,0,1,0,R128,R64,1,
218,2016-usopen-1212,8757.609,6460.735,1,0,0,R64,R32,1,
221,2016-usopen-1216,9426.893,9069.153,1,1,1,R64,R32,1,
225,2016-usopen-1224,8883.942,5133.671,1,0,0,R64,F,0,
228,2016-usopen-1229,8911.155,8827.543,1,0,0,R64,R32,1,
229,2016-usopen-1232,8394.323,8275.698,1,0,0,R64,QF,0,
235,2016-usopen-1306,12099.905,12120.031,0,1,0,R32,QF,0,
237,2016-usopen-1308,9751.391,9706.338,1,1,1,R32,R16,1,
238,2016-usopen-1309,10803.414,10747.699,1,1,1,R32,R16,1,
239,2016-usopen-1310,8279.609,8539.091,0,1,0,R32,QF,0,
241,2016-usopen-1312,14291.599,10967.029,1,0,0,R32,F,0,
244,2016-usopen-1315,10690.345,11073.996,0,0,1,R32,R16,1,
245,2016-usopen-1316,12535.927,11668.475,1,0,0,R32,QF,0,
247,2016-usopen-1402,8382.822,8334.652,1,1,1,R16,QF,1,
248,2016-usopen-1403,15045.94,14369.086,1,0,0,R16,QF,1,
249,2016-usopen-1404,9204.233,9387.79,0,1,0,R16,SF,0,
251,2016-usopen-1406,9763.84,9954.555,0,0,1,R16,F,0,
256,2016-usopen-1503,10133.913,9168.258,1,0,0,QF,F,0,
257,2016-usopen-1504,11646.558,12129.768,0,1,0,QF,SF,1,
258,2016-usopen-1601,7128.538,8243.093,0,1,0,SF,F,1,
259,2016-usopen-1602,9695.283,8701.442,1,1,1,SF,F,0,
260,2016-usopen-1701,13342.228,14235.268,0,0,1,F,NA,NA,
1079,2021-wimbledon-1108,7973.277,8554.693,0,0,1,R128,R64,1,
1093,2021-wimbledon-1122,9620.375,10303.403,0,1,0,R128,R64,1,
1095,2021-wimbledon-1124,8356.868,8423.083,0,1,0,R128,R16,0,
1097,2021-wimbledon-1126,10237.469,10756.215,0,0,1,R128,R64,1,
1111,2021-wimbledon-1140,8339.973,8759.514,0,1,0,R128,R32,0,
1113,2021-wimbledon-1142,9441.845,9748.102,0,0,1,R128,R64,1,
1134,2021-wimbledon-1163,8603.588,8833.998,0,0,1,R128,R64,1,
1149,2021-wimbledon-1215,9226.291,8640.678,1,1,1,R64,R32,1,
1150,2021-wimbledon-1216,8463.467,8563.965,0,0,1,R64,R16,0,
1157,2021-wimbledon-1223,8523.672,8644.363,0,1,0,R64,R32,1,
1185,2021-wimbledon-1403,8449.553,8454.929,0,1,0,R16,QF,1,
1204,2021-usopen-1107,9236.645,9573.544,0,1,0,R128,R16,0,
1207,2021-usopen-1110,8266.582,8469.692,0,1,0,R128,R32,0,
1263,2021-usopen-1202,8557.257,8909.387,0,1,0,R64,R32,1,
1264,2021-usopen-1203,8746.514,9032.445,0,1,0,R64,R32,1,
1265,2021-usopen-1204,9780.2,9441.056,1,1,1,R64,R16,0,
1273,2021-usopen-1212,9734.496,9390.459,1,0,0,R64,R16,0,
1283,2021-usopen-1222,8207.258,8000.351,1,0,0,R64,R16,0,
1288,2021-usopen-1227,8140.118,8671.779,0,0,1,R64,R32,1,
1295,2021-usopen-1302,7849.296,8200.936,0,0,1,R32,R16,1,
1299,2021-usopen-1306,9182.384,9208.886,0,0,1,R32,R16,1,
1303,2021-usopen-1310,9104.46,8793.886,1,0,0,R32,SF,0,
1305,2021-usopen-1312,9259.019,9102.729,1,1,1,R32,QF,0,
1315,2021-usopen-1406,8091.492,8704.757,0,0,1,R16,QF,1,
1316,2021-usopen-1407,10816.69,10695.361,1,1,1,R16,QF,1,
1321,2021-usopen-1504,6723.166,8229.346,0,0,1,QF,F,0,
1363,2022-wimbledon-1139,8622.867,8724.848,0,1,0,R128,R32,0,
1392,2022-wimbledon-1204,13955.341,7508.975,1,1,1,R64,R16,0,
1404,2022-wimbledon-1216,8352.13,9469.095,0,1,0,R64,R32,1,
,,,,,,0.456790123,,,0.518987342,0.4
,,,,,,,,,,Only R128
