,MatchID,Distance1,Distance2,P1RanMore,P1Won,MatchRound,WinnerAdvancedTo,WinnerLostNext
8,2015-usopen-2123,5866.729,5638.657,1,1,R128,R64,1
12,2015-usopen-2137,6317.38,6239.284,1,1,R128,R32,0
26,2015-usopen-2206,6646.997,6274.284,1,0,R64,QF,0
30,2015-usopen-2215,8818.786,10298.345,0,1,R64,R32,1
31,2015-usopen-2216,5380.121,5415.492,0,0,R64,R32,1
34,2015-usopen-2220,6895.181,6787.412,1,1,R64,R16,0
35,2015-usopen-2221,6747.395,5623.191,1,1,R64,R32,1
37,2015-usopen-2223,5816.256,6178.205,0,1,R64,F,0
38,2015-usopen-2224,11463.992,10800.475,1,1,R64,R32,1
48,2015-usopen-2306,7734.443,6229.015,1,0,R32,R16,1
50,2015-usopen-2308,6310.772,7019.048,0,1,R32,NA,NA
52,2015-usopen-2310,5405.774,5353.48,1,0,R32,R16,1
53,2015-usopen-2311,5934.964,5827.381,1,0,R32,R16,1
55,2015-usopen-2313,6693.591,6920.001,0,1,R32,R16,1
56,2015-usopen-2314,9957.986,10110.96,0,1,R32,QF,0
57,2015-usopen-2315,8598.482,8249.12,1,0,R32,R16,1
65,2015-usopen-2408,7007.934,8693.075,0,0,R16,SF,0
67,2015-usopen-2502,6291.751,7209.729,0,0,QF,F,0
68,2015-usopen-2503,5244.92,5797.352,0,0,QF,F,0
69,2015-usopen-2504,7963.152,9197.781,0,0,QF,SF,1
70,2015-usopen-2601,5158.475,5883.832,0,0,SF,F,1
72,2015-usopen-2701,6669.525,7029.173,0,0,F,NA,NA
188,2016-usopen-2119,7417.66,6819.893,1,1,R128,R64,1
189,2016-usopen-2120,5721.182,4994.478,1,0,R128,R32,0
194,2016-usopen-2132,8997.651,8326.689,1,0,R128,R16,0
195,2016-usopen-2133,6915.178,6397.194,1,1,R128,R16,0
196,2016-usopen-2137,9770.563,9382.375,1,0,R128,R32,0
197,2016-usopen-2139,6929.962,6408.756,1,0,R128,SF,0
201,2016-usopen-2148,5397.189,5680.699,0,0,R128,R64,1
210,2016-usopen-2209,5647.363,5600.49,1,1,R64,R16,0
211,2016-usopen-2212,8058.024,8132.308,0,1,R64,R32,1
213,2016-usopen-2214,6884.682,6991.303,0,0,R64,R32,1
214,2016-usopen-2215,5921.587,4424.253,1,1,R64,R32,1
218,2016-usopen-2220,6620.79,6171.741,1,1,R64,SF,0
220,2016-usopen-2224,5601.959,5007.471,1,1,R64,QF,0
222,2016-usopen-2228,5834.809,5957.539,0,0,R64,R32,1
229,2016-usopen-2304,8611.78,9200.795,0,0,R32,QF,0
235,2016-usopen-2310,6230.227,6021.543,1,0,R32,SF,0
238,2016-usopen-2313,7698.121,7630.336,1,1,R32,QF,0
239,2016-usopen-2314,9364.834,9279.67,1,1,R32,R16,1
243,2016-usopen-2402,6917.073,7007.166,0,0,R16,QF,1
245,2016-usopen-2404,5969.131,6089.367,0,1,R16,F,0
247,2016-usopen-2406,5876.049,6373.666,0,0,R16,QF,1
248,2016-usopen-2407,6784.11,6998.425,0,1,R16,QF,1
250,2016-usopen-2501,6875.778,7829.087,0,1,QF,SF,1
253,2016-usopen-2504,5736.264,5321.361,1,0,QF,F,0
255,2016-usopen-2602,5991.45,6164.128,0,0,SF,F,0
256,2016-usopen-2701,6437.711,7300.453,0,0,F,NA,NA
1042,2021-wimbledon-2130,5451.696,4825.574,1,1,R128,R64,1
1051,2021-wimbledon-2139,5949.726,5569.578,1,1,R128,R64,1
1054,2021-wimbledon-2142,5813.587,5613.482,1,1,R128,R64,1
1057,2021-wimbledon-2145,5672.446,5797.07,0,0,R128,QF,0
1059,2021-wimbledon-2147,8311.905,7676.539,1,1,R128,R32,0
1064,2021-wimbledon-2152,6146.448,6296.736,0,0,R128,R64,1
1071,2021-wimbledon-2159,5583.18,5439.879,1,0,R128,R64,1
1091,2021-wimbledon-2215,8406.678,9279.971,0,1,R64,SF,0
1102,2021-wimbledon-2226,6645.4,6489.195,1,1,R64,R32,1
1110,2021-wimbledon-2302,5767.139,5292.59,1,0,R32,R16,1
1122,2021-wimbledon-2314,5560.972,5369.518,1,1,R32,QF,0
1144,2021-usopen-2105,5151.192,5816.292,0,0,R128,R32,0
1161,2021-usopen-2122,6234.446,6106.841,1,1,R128,R32,0
1162,2021-usopen-2123,5814.677,5499.713,1,1,R128,R64,1
1173,2021-usopen-2134,8425.651,8329.825,1,1,R128,R64,1
1177,2021-usopen-2138,5204.246,5590.434,0,1,R128,R64,1
1196,2021-usopen-2157,6988.627,7356.699,0,1,R128,R16,0
1215,2021-usopen-2212,5478.439,5242.97,1,0,R64,R16,0
1221,2021-usopen-2218,5923.122,5905.903,1,0,R64,R32,1
1238,2021-usopen-2304,5553.8,5559.276,0,0,R32,R16,1
1244,2021-usopen-2310,5989.228,5617.274,1,0,R32,R16,1
1245,2021-usopen-2311,5468.795,5418.067,1,1,R32,R16,1
1254,2021-usopen-2404,6891.85,6627.652,1,1,R16,SF,0
1256,2021-usopen-2406,5521.278,5432.878,1,0,R16,F,0
1261,2021-usopen-2503,5943.709,5740.487,1,0,QF,F,0
1295,2022-wimbledon-2130,5744.467,6303.748,0,0,R128,R16,0
1342,2022-wimbledon-2218,6220.759,5911.174,1,0,R64,R32,1
1350,2022-wimbledon-2226,5894.012,5497.802,1,1,R64,SF,0
1355,2022-wimbledon-2231,6918.237,7320.104,0,0,R64,R32,1
